,0
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,1
99,1
100,1
101,0
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,0
153,0
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,0
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,1
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,1
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,1
314,0
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,1
332,1
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,1
362,1
363,1
364,0
365,0
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,1
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,1
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,0
494,0
495,1
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,0
530,0
531,1
532,0
533,0
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,1
547,1
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,1
567,1
568,0
569,1
570,1
571,0
572,0
573,0
574,0
575,0
576,1
577,1
578,0
579,0
580,1
581,0
582,1
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,0
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,1
634,0
635,0
636,0
637,1
638,1
639,1
640,1
641,1
642,0
643,1
644,1
645,1
646,1
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,1
656,0
657,1
658,1
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,1
670,0
671,0
672,0
673,1
674,0
675,0
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,1
698,0
699,1
700,1
701,1
702,0
703,0
704,1
705,1
706,1
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,1
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,1
749,0
750,1
751,1
752,1
753,1
754,0
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,1
764,0
765,1
766,1
767,0
768,1
769,0
770,0
771,0
772,1
773,0
774,0
775,0
776,1
777,1
778,0
779,0
780,1
781,0
782,1
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,1
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,1
812,0
